step,wr_random,wr_regles,metric,wr_conservador,wr_agressiu,wr_truc_bot,wr_envit_bot,wr_faroler,wr_equilibrat,wr_pool_mean,std_pool,metric_robust,wr_vs_self,exploit_selfplay,n_snapshots,elapsed
19500000,82.0000,68.0000,71.5000,65.0000,60.0000,85.0000,80.0000,60.0000,95.0000,74.1667,13.3593,67.4870,60.0000,10.0000,9,2477.41
20000000,94.0000,66.0000,73.0000,60.0000,75.0000,75.0000,90.0000,55.0000,85.0000,73.3333,12.4722,67.0972,63.3333,13.3333,9,2540.65
20500000,82.0000,67.0000,70.7500,60.0000,65.0000,75.0000,80.0000,60.0000,90.0000,71.6667,11.0554,66.1390,60.0000,10.0000,9,2603.57
21000000,90.0000,81.0000,83.2500,65.0000,75.0000,85.0000,80.0000,50.0000,90.0000,74.1667,13.3593,67.4870,56.6667,6.6667,9,2667.42
21500000,82.0000,83.0000,82.7500,65.0000,65.0000,80.0000,85.0000,55.0000,95.0000,74.1667,13.6677,67.3328,60.0000,10.0000,9,2731.36
22000000,78.0000,82.0000,81.0000,70.0000,65.0000,70.0000,85.0000,75.0000,85.0000,75.0000,7.6376,71.1812,53.3333,3.3333,9,2794.81
22500000,86.0000,86.0000,86.0000,55.0000,75.0000,65.0000,80.0000,70.0000,90.0000,72.5000,11.0868,66.9566,56.6667,6.6667,9,2857.97
23000000,86.0000,61.0000,67.2500,55.0000,60.0000,65.0000,85.0000,60.0000,95.0000,70.0000,14.7196,62.6402,50.0000,0.0000,9,2921.27
23500000,96.0000,79.0000,83.2500,55.0000,70.0000,70.0000,85.0000,75.0000,95.0000,75.0000,12.5831,68.7085,40.0000,10.0000,9,2984.05
24000000,84.0000,81.0000,81.7500,65.0000,60.0000,65.0000,85.0000,70.0000,95.0000,73.3333,12.4722,67.0972,56.6667,6.6667,9,3047.21
24500000,84.0000,81.0000,81.7500,50.0000,65.0000,70.0000,90.0000,65.0000,95.0000,72.5000,15.4785,64.7608,60.0000,10.0000,9,3109.99
25000000,72.0000,84.0000,81.0000,65.0000,70.0000,75.0000,85.0000,75.0000,90.0000,76.6667,8.4984,72.4175,53.3333,3.3333,9,3173.01
25500000,84.0000,85.0000,84.7500,50.0000,75.0000,70.0000,85.0000,70.0000,90.0000,73.3333,12.8019,66.9324,50.0000,0.0000,9,3235.62
26000000,90.0000,73.0000,77.2500,65.0000,75.0000,65.0000,90.0000,70.0000,85.0000,75.0000,9.5743,70.2129,50.0000,0.0000,9,3298.76
26500000,86.0000,63.0000,68.7500,55.0000,75.0000,65.0000,85.0000,60.0000,90.0000,71.6667,12.8019,65.2657,60.0000,10.0000,9,3361.71
27000000,88.0000,77.0000,79.7500,60.0000,70.0000,80.0000,85.0000,65.0000,90.0000,75.0000,10.8012,69.5994,63.3333,13.3333,9,3425.09
27500000,88.0000,74.0000,77.5000,60.0000,80.0000,75.0000,80.0000,70.0000,85.0000,75.0000,8.1650,70.9175,53.3333,3.3333,9,3488.42
28000000,80.0000,79.0000,79.2500,55.0000,65.0000,70.0000,85.0000,70.0000,90.0000,72.5000,11.8145,66.5927,50.0000,0.0000,9,3551.25
28500000,88.0000,81.0000,82.7500,55.0000,80.0000,70.0000,85.0000,80.0000,85.0000,75.8333,10.5738,70.5464,53.3333,3.3333,9,3614.09
29000000,94.0000,71.0000,76.7500,80.0000,65.0000,75.0000,85.0000,45.0000,90.0000,73.3333,14.9071,65.8798,50.0000,0.0000,9,3677.09
29500000,82.0000,82.0000,82.0000,55.0000,75.0000,80.0000,85.0000,55.0000,90.0000,73.3333,13.7437,66.4615,46.6667,3.3333,9,3740.61
30000000,86.0000,81.0000,82.2500,60.0000,65.0000,80.0000,80.0000,55.0000,95.0000,72.5000,13.7689,65.6155,56.6667,6.6667,9,3804.43
30500000,94.0000,85.0000,87.2500,65.0000,65.0000,80.0000,90.0000,60.0000,80.0000,73.3333,10.6719,67.9974,53.3333,3.3333,9,3867.43
31000000,82.0000,80.0000,80.5000,60.0000,65.0000,80.0000,75.0000,55.0000,80.0000,69.1667,9.7539,64.2897,46.6667,3.3333,9,3930.75
31500000,90.0000,82.0000,84.0000,60.0000,75.0000,80.0000,85.0000,60.0000,90.0000,75.0000,11.5470,69.2265,46.6667,3.3333,9,3993.89
32000000,88.0000,80.0000,82.0000,65.0000,70.0000,80.0000,85.0000,60.0000,85.0000,74.1667,9.7539,69.2897,56.6667,6.6667,9,4056.81
32500000,88.0000,73.0000,76.7500,65.0000,70.0000,75.0000,85.0000,55.0000,90.0000,73.3333,11.7851,67.4408,56.6667,6.6667,9,4119.37
33000000,82.0000,78.0000,79.0000,60.0000,80.0000,75.0000,90.0000,50.0000,95.0000,75.0000,15.8114,67.0943,60.0000,10.0000,9,4182.44
33500000,84.0000,71.0000,74.2500,60.0000,60.0000,80.0000,85.0000,60.0000,95.0000,73.3333,14.0436,66.3115,60.0000,10.0000,9,4245.34
34000000,90.0000,79.0000,81.7500,60.0000,65.0000,70.0000,85.0000,70.0000,90.0000,73.3333,10.6719,67.9974,53.3333,3.3333,9,4308.42
34500000,80.0000,84.0000,83.0000,55.0000,70.0000,75.0000,75.0000,65.0000,95.0000,72.5000,12.1621,66.4190,53.3333,3.3333,9,4371.81
35000000,86.0000,87.0000,86.7500,65.0000,70.0000,75.0000,85.0000,50.0000,80.0000,70.8333,11.3346,65.1661,56.6667,6.6667,9,4434.74
35500000,90.0000,85.0000,86.2500,55.0000,75.0000,75.0000,90.0000,60.0000,95.0000,75.0000,14.4338,67.7831,53.3333,3.3333,9,4497.86
36000000,82.0000,73.0000,75.2500,65.0000,55.0000,80.0000,90.0000,70.0000,90.0000,75.0000,12.9099,68.5450,53.3333,3.3333,9,4561.44
36500000,92.0000,64.0000,71.0000,60.0000,75.0000,75.0000,85.0000,65.0000,90.0000,75.0000,10.4083,69.7958,53.3333,3.3333,9,4624.23
